sensor_id,datetime,value
light,1488385800.0,0.0
light,1488386100.0,9.1
light,1488386400.0,9.8
light,1488386700.0,11.2
light,1488387000.0,13.8
light,1488387300.0,0.3
light,1488387600.0,7.9
light,1488387900.0,0.1
light,1488388200.0,0.1
light,1488388500.0,3.6
light,1488388800.0,0.0
light,1488389100.0,11.0
light,1488389400.0,5.4
light,1488389700.0,3.3
light,1488390000.0,16.2
light,1488390300.0,16.3
light,1488390600.0,16.4
light,1488390900.0,9.7
light,1488391200.0,23.6
light,1488391500.0,23.6
light,1488391800.0,26.0
light,1488392100.0,45.4
light,1488392400.0,46.8
light,1488392700.0,30.2
light,1488393000.0,44.0
light,1488393300.0,82.3
light,1488393600.0,95.9
light,1488393900.0,75.3
light,1488394200.0,86.8
light,1488394500.0,13.0
light,1488394800.0,21.4
light,1488395100.0,17.1
light,1488395400.0,0.0
light,1488395700.0,1.1
light,1488396000.0,14.3
light,1488396300.0,18.4
light,1488396600.0,7.6
light,1488396900.0,20.5
light,1488397200.0,24.7
light,1488397500.0,14.5
light,1488397800.0,29.0
light,1488398100.0,37.3
light,1488398400.0,45.3
light,1488398700.0,30.2
light,1488399000.0,61.7
light,1488399300.0,67.9
light,1488399600.0,40.0
light,1488399900.0,22.7
light,1488400200.0,16.9
light,1488400500.0,16.4
light,1488400800.0,34.7
light,1488401100.0,36.7
light,1488401400.0,31.9
light,1488401700.0,65.1
light,1488402000.0,61.8
light,1488402300.0,69.5
light,1488402600.0,52.8
light,1488402900.0,53.1
light,1488403200.0,67.4
light,1488403500.0,61.0
light,1488403800.0,55.3
light,1488404100.0,64.6
light,1488404400.0,113.0
light,1488404700.0,144.7
light,1488405000.0,151.7
light,1488405300.0,140.3
light,1488405600.0,137.9
light,1488405900.0,140.3
light,1488406200.0,137.3
light,1488406500.0,112.2
light,1488406800.0,99.9
light,1488407100.0,117.2
light,1488407400.0,101.9
light,1488407700.0,114.1
light,1488408000.0,104.9
light,1488408300.0,103.4
light,1488408600.0,62.4
light,1488408900.0,58.0
light,1488409200.0,60.1
light,1488409500.0,71.3
light,1488409800.0,64.8
light,1488410100.0,57.2
light,1488410400.0,60.6
light,1488410700.0,46.2
light,1488411000.0,40.4
light,1488411300.0,54.2
light,1488411600.0,66.2
light,1488411900.0,26.6
light,1488412200.0,36.0
light,1488412500.0,46.2
light,1488412800.0,73.9
light,1488413100.0,66.3
light,1488413400.0,39.2
light,1488413700.0,61.2
light,1488414000.0,86.9
light,1488414300.0,86.7
light,1488414600.0,55.8
